form,block,item,code_unit,type,pu_type,codeId,numLines,parseStatus
XSIM2,BLK1_TSI_MST,,ON-MESSAGE,TRIGGER,,51,2,true
XSIM2,BLK1_TSI_MST,,KEY-DOWN,TRIGGER,,54,0,true
XSIM2,BLK1_TSI_MST,,KEY-UP,TRIGGER,,53,0,true
XSIM2,BLK1_TSI_MST,,POST-QUERY,TRIGGER,,50,34,true
XSIM2,BLK1_TSI_MST,,ON-ERROR,TRIGGER,,49,13,true
XSIM2,BLK3_TSI_MST,,PRE-DELETE,TRIGGER,,286,50,true
XSIM2,BLK3_TSI_MST,,KEY-F7,TRIGGER,,285,4,true
XSIM2,BLK3_TSI_MST,,ON-POPULATE-DETAILS,TRIGGER,,288,78,true
XSIM2,BLK3_TSI_MST,,PRE-BLOCK,TRIGGER,,287,11,true
XSIM2,BLK3_TSI_MST,,PRE-INSERT,TRIGGER,,290,211,true
XSIM2,BLK3_TSI_MST,,POST-QUERY,TRIGGER,,289,31,true
XSIM2,BLK3_TSI_MST,,PRE-QUERY,TRIGGER,,292,28,true
XSIM2,BLK3_TSI_MST,,PRE-UPDATE,TRIGGER,,291,188,true
XSIM2,BLK3_TSI_MST,,ON-ERROR,TRIGGER,,293,13,true
XSIM2,BLK3_TSI_MST,,KEY-F3,TRIGGER,,281,4,true
XSIM2,BLK3_TSI_MST,,KEY-F4,TRIGGER,,282,4,true
XSIM2,BLK3_TSI_MST,,KEY-F5,TRIGGER,,283,4,true
XSIM2,BLK3_TSI_MST,,KEY-F6,TRIGGER,,284,4,true
XSIM2,BLK3_CONTROL,,KEY-F4,TRIGGER,,324,4,true
XSIM2,BLK3_CONTROL,,KEY-F3,TRIGGER,,323,4,true
XSIM2,BLK3_CONTROL,,KEY-F5,TRIGGER,,325,4,true
XSIM2,BLK3_CONTROL,,KEY-F6,TRIGGER,,326,4,true
XSIM2,BLK3_CONTROL,,KEY-F7,TRIGGER,,327,4,true
XSIM2,BLK4_TSI_DES_D,,PRE-INSERT,TRIGGER,,342,4,true
XSIM2,BLK4_TSI_DES_D,,KEY-F4,TRIGGER,,338,4,true
XSIM2,BLK4_TSI_DES_D,,KEY-F5,TRIGGER,,339,4,true
XSIM2,BLK4_TSI_DES_D,,KEY-F6,TRIGGER,,340,4,true
XSIM2,BLK4_TSI_DES_D,,KEY-F7,TRIGGER,,341,4,true
XSIM2,BLK4_TSI_DES_D,,KEY-F3,TRIGGER,,337,4,true
XSIM2,BLK4_TSI_DES_B,,PRE-UPDATE,TRIGGER,,358,11,true
XSIM2,BLK4_TSI_DES_B,,PRE-INSERT,TRIGGER,,357,16,true
XSIM2,BLK4_TSI_DES_B,,KEY-F7,TRIGGER,,356,4,true
XSIM2,BLK4_TSI_DES_B,,KEY-F6,TRIGGER,,355,4,true
XSIM2,BLK4_TSI_DES_B,,KEY-F5,TRIGGER,,354,4,true
XSIM2,BLK4_TSI_DES_B,,KEY-F4,TRIGGER,,353,4,true
XSIM2,BLK4_TSI_DES_B,,KEY-F3,TRIGGER,,352,4,true
XSIM2,BLK4_TSI_DES_Q,,PRE-INSERT,TRIGGER,,373,4,true
XSIM2,BLK4_TSI_DES_Q,,KEY-F6,TRIGGER,,371,4,true
XSIM2,BLK4_TSI_DES_Q,,KEY-F7,TRIGGER,,372,4,true
XSIM2,BLK4_TSI_DES_Q,,KEY-F4,TRIGGER,,369,4,true
XSIM2,BLK4_TSI_DES_Q,,KEY-F5,TRIGGER,,370,4,true
XSIM2,BLK4_TSI_DES_Q,,KEY-F3,TRIGGER,,368,4,true
XSIM2,BLK4_TSI_DES_A,,PRE-INSERT,TRIGGER,,388,4,true
XSIM2,BLK4_TSI_DES_A,,KEY-F7,TRIGGER,,387,4,true
XSIM2,BLK4_TSI_DES_A,,KEY-F4,TRIGGER,,384,4,true
XSIM2,BLK4_TSI_DES_A,,KEY-F3,TRIGGER,,383,4,true
XSIM2,BLK4_TSI_DES_A,,KEY-F6,TRIGGER,,386,4,true
XSIM2,BLK4_TSI_DES_A,,KEY-F5,TRIGGER,,385,4,true
